
PID,USER,PR,NI,VIRT,RES,SHR,S,%CPU,%MEM,TIME+,COMMAND
8322,root,20,0,217056,4028,2656,S,0.0,0.0,0:00.01,docker-proxy
8334,root,20,0,217056,3932,2552,S,0.0,0.0,0:00.56,docker-proxy
8345,root,20,0,217056,3872,2488,S,0.0,0.0,0:00.01,docker-proxy
8363,root,20,0,113384,4904,4132,S,0.0,0.1,0:00.33,containerd-+
8685,root,20,0,111720,5816,4824,S,0.0,0.1,0:00.64,containerd-+
8716,elastal+,20,0,128104,24208,8736,S,0.0,0.3,0:04.43,supervisord
9101,root,20,0,113384,5708,4336,S,0.0,0.1,0:01.86,containerd-+
9144,curator,20,0,15272,3296,3144,S,0.0,0.0,0:00.07,bash
9308,elastal+,20,0,789488,44796,9728,S,0.0,0.5,0:26.27,python3.6
9795,jay,20,0,470284,33460,24924,S,0.0,0.4,0:05.93,gnome-termi+
9799,jay,20,0,22508,4428,2624,S,0.0,0.1,0:00.12,bash
10070,jay,20,0,363832,7988,7028,S,0.0,0.1,0:00.03,gvfsd-netwo+
10142,jay,20,0,361716,6212,5460,S,0.0,0.1,0:00.02,gvfsd-dnssd
11680,root,20,0,0,0,0,I,0.0,0.0,0:00.00,kworker/0:2
12605,jay,20,0,4942452,134956,91096,S,0.0,1.7,0:15.33,code
12650,jay,20,0,346816,40564,33424,S,0.0,0.5,0:00.03,code
12651,jay,20,0,346816,40348,33228,S,0.0,0.5,0:00.02,code
13088,sguil,20,0,96636,70656,68052,S,0.0,0.9,0:00.08,netsniff-ng
13133,jay,20,0,429404,64700,49876,S,0.0,0.8,0:01.67,code
13145,jay,20,0,404304,48364,32696,S,0.0,0.6,0:16.18,code
15272,root,20,0,74844,6108,4148,S,0.0,0.1,0:02.78,syslog-ng
16919,jay,20,0,400040,8560,7564,S,0.0,0.1,0:00.01,gvfsd-http
18453,jay,20,0,178532,4748,4276,S,0.0,0.1,0:00.02,dconf-servi+
19017,jay,20,0,5330812,140728,84276,S,0.0,1.7,0:47.54,chromium-br+
19035,jay,20,0,5263984,50076,37696,S,0.0,0.6,0:00.03,chromium-br+
25469,root,20,0,0,0,0,I,0.0,0.0,0:00.27,kworker/u2:3
25470,root,20,0,0,0,0,I,0.0,0.0,0:00.32,kworker/u2:4
25477,jay,20,0,22572,5112,3300,S,0.0,0.1,0:00.04,bash
29719,jay,20,0,22572,5032,3224,S,0.0,0.1,0:00.04,bash
29726,jay,20,0,346816,41564,34396,S,0.0,0.5,0:00.03,code
29727,jay,20,0,346816,41188,34072,S,0.0,0.5,0:00.03,code
29760,jay,20,0,422236,60140,50388,S,0.0,0.7,0:00.36,code
29775,jay,20,0,442420,76676,54732,S,0.0,0.9,1:18.19,code
29837,jay,20,0,4778108,120732,88716,S,0.0,1.5,0:09.74,code
29869,jay,20,0,4688576,67116,48756,S,0.0,0.8,0:15.21,code
29887,jay,20,0,22516,5040,3328,S,0.0,0.1,0:00.05,bash
30177,jay,20,0,1268316,239048,127068,S,0.0,2.9,0:54.47,chromium-br+
30218,jay,20,0,451640,53380,43628,S,0.0,0.7,0:00.05,chromium-br+
30219,jay,20,0,451640,52492,42744,S,0.0,0.6,0:00.04,chromium-br+
30265,jay,20,0,451640,13404,3612,S,0.0,0.2,0:00.01,chromium-br+
30324,jay,20,0,1250184,164024,76712,S,0.0,2.0,0:18.85,chromium-br+
30326,jay,20,0,1073196,74756,60124,S,0.0,0.9,0:02.33,chromium-br+
30351,jay,20,0,663120,28608,2272,S,0.0,0.4,0:00.00,chromium-br+
30679,jay,20,0,5327820,132828,82024,S,0.0,1.6,1:05.93,chromium-br+
30690,jay,20,0,5312988,124328,78152,S,0.0,1.5,1:10.10,chromium-br+
30703,jay,20,0,5275372,80304,65632,S,0.0,1.0,0:00.18,chromium-br+

